City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,Mulchen,-37.7167,-72.2333,90.59,14,0,4.76,CL,2022-02-06 23:25:33
224,Sinnamary,5.3833,-52.95,77.86,87,100,8.57,GF,2022-02-06 23:25:33
225,Shenjiamen,29.9576,122.298,43.99,79,100,17.92,CN,2022-02-06 23:26:34
226,Saint-Michel-Des-Saints,46.6834,-73.9159,8.94,95,100,7.31,CA,2022-02-06 23:26:34
227,Buraydah,26.326,43.975,46.85,43,0,4.54,SA,2022-02-06 23:26:34
228,Plakhtiyivka,46.1006,29.7217,35.47,71,64,9.57,UA,2022-02-06 23:26:34
229,Trairi,-3.2778,-39.2689,78.28,78,74,8.28,BR,2022-02-06 23:26:35
230,Talakan,50.3167,130.3667,-17.48,100,100,1.74,RU,2022-02-06 23:26:35
231,Kovur,14.4833,79.9833,70.29,79,99,2.66,IN,2022-02-06 23:26:35
232,Tabuk,17.4189,121.4443,69.1,97,100,1.19,PH,2022-02-06 23:26:36
233,Manzhouli,49.6,117.4333,0.34,98,77,6.49,CN,2022-02-06 23:26:36
234,Kailua,21.4022,-157.7394,82.38,70,20,5.01,US,2022-02-06 23:23:04
235,Almaznyy,48.0448,40.045,30.34,93,100,11.25,RU,2022-02-06 23:26:36
236,Tymovskoye,50.8456,142.655,3.79,96,100,2.04,RU,2022-02-06 23:26:36
237,Hay River,60.8156,-115.7999,26.58,74,75,6.91,CA,2022-02-06 23:23:47
238,Ahipara,-35.1667,173.1667,76.26,91,99,6.73,NZ,2022-02-06 23:26:37
239,Lompoc,34.6391,-120.4579,78.01,57,0,11.5,US,2022-02-06 23:23:00
240,Ntungamo,-0.8833,29.65,66.18,71,65,3.18,UG,2022-02-06 23:26:37
241,Adrar,20.5022,-10.0711,67.3,10,0,9.08,MR,2022-02-06 23:26:37
242,Camana,-16.6228,-72.7111,72.64,74,67,4.94,PE,2022-02-06 23:26:37
243,La Orilla,17.9833,-102.2333,82.92,50,8,10.56,MX,2022-02-06 23:26:38
244,Foumban,5.7291,10.9001,67.42,24,0,4.07,CM,2022-02-06 23:26:38
245,Goleta,36.8181,10.305,53.92,71,20,11.5,TN,2022-02-06 23:26:38
246,Show Low,34.2542,-110.0298,45.3,22,0,19.57,US,2022-02-06 23:26:01
247,Shimizu,43.0061,142.8847,13.75,88,65,5.53,JP,2022-02-06 23:26:39
248,Pandan,14.0453,124.1694,77.23,85,90,16.33,PH,2022-02-06 23:26:11
249,Itamarandiba,-17.8572,-42.8589,64.4,98,100,1.79,BR,2022-02-06 23:26:39
250,Codrington,-38.2667,141.9667,74.34,40,0,7.43,AU,2022-02-06 23:23:11
251,Catuday,16.2923,119.8062,75.43,75,94,11.9,PH,2022-02-06 23:26:39
252,San Patricio,28.017,-97.5169,64.49,65,61,8.1,US,2022-02-06 23:26:39
253,Lata,40.1629,-8.3327,46.04,65,39,4.0,PT,2022-02-06 23:26:40
254,Nikolskoye,59.7035,30.7861,35.87,94,100,11.43,RU,2022-02-06 23:26:40
255,Fort-Shevchenko,44.5086,50.263,37.06,74,95,12.5,KZ,2022-02-06 23:26:40
256,Te Anau,-45.4167,167.7167,58.53,55,38,2.06,NZ,2022-02-06 23:26:40
257,Marzuq,14.4,46.4667,60.67,41,100,3.4,YE,2022-02-06 23:26:41
258,Nea Peramos,38.0076,23.423,53.6,93,20,0.0,GR,2022-02-06 23:26:41
259,Osinki,52.8432,49.5132,12.13,97,95,6.04,RU,2022-02-06 23:26:41
260,Bethel,41.3712,-73.414,27.05,69,0,3.44,US,2022-02-06 23:24:26
261,Kirchlinteln,52.95,9.3167,37.94,89,100,18.52,DE,2022-02-06 23:26:42
262,Nizhniy Kuranakh,58.8353,125.4869,-19.89,99,68,1.63,RU,2022-02-06 23:26:42
263,Constitucion,-35.3333,-72.4167,66.09,64,8,10.2,CL,2022-02-06 23:26:42
264,Srednekolymsk,67.45,153.6833,-37.55,100,62,1.28,RU,2022-02-06 23:26:42
