City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Caravelas,BR,76.24,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
392,Kruisfontein,ZA,69.69,clear sky,-34.0033,24.7314,Oyster Bay House Rental
393,Kieta,PG,86.86,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
394,Saint-Marc,HT,75.67,clear sky,19.1082,-72.6938,Maguana Hotel
395,Port Keats,AU,87.84,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
397,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
398,Manokwari,ID,83.01,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
399,Malangali,TZ,60.58,overcast clouds,-8.5667,34.85,
400,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
403,Manggar,ID,81.72,overcast clouds,-2.8833,108.2667,Guest Hotel
408,Mazagao,BR,77.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
409,Sungaipenuh,ID,73.69,overcast clouds,-2.0833,101.3833,penginapan citra alam
410,Ikalamavony,MG,65.53,overcast clouds,-21.15,46.5833,
411,Santa Cruz Cabralia,BR,79.03,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
412,Oriximina,BR,73.85,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
413,Lorengau,PG,83.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
416,Kupang,ID,85.05,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
417,Angoche,MZ,73.63,overcast clouds,-16.2325,39.9086,Guest House HESADA
431,Makali,SL,66.42,clear sky,8.6333,-11.6667,
432,Kahului,US,80.62,clear sky,20.8947,-156.47,Maui Seaside Hotel
434,Kaohsiung,TW,67.03,light intensity drizzle,22.6163,120.3133,御宿商旅-中山館
435,Grand Gaube,MU,77.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
437,Fontem,CM,64.85,clear sky,5.4685,9.8818,Vista Palace Hotel
438,Sao Lourenco Do Sul,BR,62.65,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
441,Dingle,PH,83.75,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
444,Pandan,PH,78.69,broken clouds,14.0453,124.1694,Bonifacio Lodge
446,Muisne,EC,75.76,light rain,0.6,-80.0333,Quinta Samay
450,Te Anau,NZ,70.7,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
453,Vavuniya,LK,78.78,overcast clouds,8.7514,80.4971,Thampa Hotel
454,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
455,Harper,LR,78.76,overcast clouds,4.375,-7.7169,Screensaver
456,Namatanai,PG,85.84,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
461,Raga,SS,60.4,scattered clouds,8.4596,25.678,
463,Bikaner,IN,63.59,clear sky,28.0167,73.3,Karina Guest House
465,Sao Felix Do Xingu,BR,71.62,broken clouds,-6.6447,-51.995,Rio Xingu Camping
466,Christchurch,NZ,64.94,scattered clouds,-43.5333,172.6333,The George
467,Sao Borja,BR,65.95,clear sky,-28.6606,-56.0044,Hotel Executivo
469,Tanggul,ID,86.65,broken clouds,-8.1645,113.4525,Padepokan HM Arum Sabil
470,Nouakchott,MR,64.33,scattered clouds,18.0858,-15.9785,HOTEL IMAN
472,Nabire,ID,82.9,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
473,Podor,MR,76.05,clear sky,16.6527,-14.9587,Auberge Du Tékrour
474,Meulaboh,ID,78.46,overcast clouds,4.1363,96.1285,Kost Pria
478,Pontes E Lacerda,BR,69.98,overcast clouds,-15.2261,-59.3353,Hotel Bressan
480,Ballarat,AU,78.98,clear sky,-37.5662,143.8496,Quest Ballarat
482,Vaitape,PF,81.01,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
483,Formosa,AR,66.65,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
485,Cabo San Lucas,MX,66.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
487,Azare,NG,60.69,clear sky,11.6765,10.1948,Mallam Ayuba Compound
488,Anori,BR,73.72,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
492,Jizan,SA,74.34,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
496,Saint-Louis,SN,75.4,clear sky,16.3333,-15.0,
497,Binika,IN,65.35,overcast clouds,21.0333,83.8,DISASTER ACCOMMODATION
500,Tokoroa,NZ,66.58,light rain,-38.2333,175.8667,Tokoroa Apartments
503,Dwarka,IN,68.23,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
504,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
505,Horizonte,BR,81.5,clear sky,-4.1,-38.4833,OYO Pousada Horizonte
506,Savannah Bight,HN,78.87,clear sky,16.45,-85.85,Villa on Dunbar Rock
507,Isangel,VU,82.51,moderate rain,-19.55,169.2667,Tanna Lodge
510,Buala,SB,86.63,light rain,-8.145,159.5921,Maringe Lagoon Lodge
511,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
512,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
514,Maumere,ID,85.12,clear sky,-8.6199,122.2111,Sylvia Hotel
516,Goundam,ML,63.16,clear sky,16.4145,-3.6708,
519,Domoni,KM,79.12,moderate rain,-12.2569,44.5319,Al Djadid
526,Arenapolis,BR,72.95,overcast clouds,-14.4503,-56.8461,Mato Grosso Hotel
528,Bairnsdale,AU,71.71,clear sky,-37.8333,147.6167,Town Central Motel
532,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
536,Garissa,KE,76.5,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
538,Sal Rei,CV,68.56,clear sky,16.1833,-22.9167,Marine Club Beach Resort
539,Sehithwa,BW,66.74,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
542,San Juan,AR,74.34,clear sky,-31.5375,-68.5364,Hotel Provincial
543,Itarema,BR,78.8,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
544,Seminole,US,63.05,mist,28.7086,-81.2081,Ono Hot Dog Cart and Catering
546,Sainte-Rose,GP,75.24,overcast clouds,16.3324,-61.6979,Villa - Duzer
547,Simbahan,PH,81.82,overcast clouds,6.3032,120.5836,
548,Katsina,NG,60.03,clear sky,12.9894,7.6006,Katsina Motel
551,Mareeba,AU,84.67,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
